video_id,title
uOiOhVgR3VA,"Building Machines That Learn and Think Like People"
fTBeNAu18_s,"This Autonomous Robot Models Your House Interior"
Uo6hFVRsjpA,"High-Resolution Neural Texture Synthesis"
MCHw6fUyLMY,"Efficient Viscoelastic Fluid Simulations"
_BPJFFkxSbw,"Deep Image Prior"
zjaz2mC1KhM,"Distilling Neural Networks"
XhH2Cc4thJw,"AI Learns Semantic Image Manipulation"
2ciR6rA85tg,"AlphaZero: DeepMind's New Chess AI"
YjjTPV2pXY0,"AI Learns Noise Filtering For Photorealistic Videos"
QmIM24JDE3A,"AI Beats Radiologists at Pneumonia Detection"
v1oWke0Qf1E,"Universal Neural Style Transfer"
6JZNEb5uDu4,"This Neural Network Optimizes Itself"
1zvohULpe_0,"How Do Neural Networks See The World? Pt 2."
M_eaS7X-mIw,"Meta Learning Shared Hierarchies"
6DVng5JVuhI,"Image Matting With Deep Neural Networks"
NEscK5RCtlo,"Terrain Generation With Deep Learning"
VrgYtFhVGmg,"NVIDIA's AI Dreams Up Imaginary Celebrities!"
Lcxz6dtYjI4,"Generalizing AI With Neural Task Programming"
p831XtyLA5M,"AI Competitive Self-Play"
7wt-9fjPDjQ,"Disney's AI Learns To Render Clouds"
dqxqbvyOnMY,"Video Game Graphics To Reality And Back"
mmeoUZ_wRm4,"Transferring AI To The Real World (OpenAI)"
9xlSy9F5WtE,"New DeepMind AI Beats AlphaGo 100-0"
mECv52eSjBo,"Real-Time Global Illumination With Radiance Probes"
kfJMUeQO0S0,"Learning to Model Other Minds (OpenAI)"
9BOdng9MpzU,"AI Learns 3D Face Reconstruction"
T_g6S3f0Z5I,"AI Learns Video Frame Interpolation"
WT0WtoYz2jE,"Deep Learning From Human Preferences"
2VyhmbEjs9A,"AI Learns To Recreate Computer Games"
nsuAQcvafCs,"Audio To Obama: AI Learns Lip Sync from Audio"
GNx8rgNcw5c,"Light Transport on Specular Microstructure"
Dvd1jQe3pq0,"Hindsight Experience Replay"
aR6M0MQBo2w,"Latent Space Human Face Synthesis"
14zkfDTN_qo,"DeepMind's AI Learns Locomotion From Scratch"
TItYXBoJ1sc,"What is The Best Way To Simulate Liquids?"
Mu0ew2F-SSA,"AI Learns To Improve Smoke Simulations"
bVGubOt_jLI,"Physics-based Image and Video Editing"
BjwhMDhbqAs,"AI Creates 3D Models From Images"
ZtP3gl_2kBM,"AI Creates Facial Animation From Audio"
mL3CzZcBJZU,"DeepMind's AI Learns Audio And Video Concepts By Itself"
qKhSZmS6aWw,"Photorealistic Fur With Multi-Scale Rendering"
St5lxIxYGkI,"DeepMind Publishes StarCraft II Learning Environment"
HSmm_vEVs10,"Real-Time Noise Filtering For Light Simulations"
cLC_GHZCOVQ,"OpenAI's Bot Beats DOTA World Champion Dendi"
_DN2rzHkpZE,"Verifying Mission-Critical AI Programs"
xp-YOPcjkFw,"DeepMind's AI Learns Imagination-Based Planning"
vmkqFRyNUWo,"AI Learns Semantic Style Transfer"
RygQnpQMdPI,"Elastoplastic Hair and Cloth Simulations"
6c2T2cykE_A,"Animating Elastic Rods With Sound"
343n8xwozJI,"Interactive Green-Screen Keying"
EGnbAgbRIh4,"Refocusing Videos With Neural Networks"
twWHwVaBfM8,"Phace: Physics-based Face Modeling and Animation"
7x2UvvD48Fw,"Real-Time Hair Rendering With Deep Opacity Maps"
HUFh8cEDeII,"Visualizing Fluid Flow With Clebsch Maps"
XgB3Xg5st2U,"AI Learns Visual Common Sense With New Dataset"
vzg5Qe0pTKk,"DeepMind's AI Learns Superhuman Relational Reasoning"
ldO7RD3s4_s,"Text-based Editing of Audio Narration"
oltKUPTBz9Q,"Efficient Yarn-based Cloth Simulations"
SauCsNkGr-E,"Iridescent Light Simulations"
R5t74AC6I0A,"Simulating Cuts On Virtual Bodies"
9bcbh2hC7Hw,"DeepMind's AI Creates Images From Your Sentences"
wlAgyf_e-hA,"Style Transfer For Fluid Simulations"
Fevg4aowNyc,"AI Learns To Create User Interfaces (pix2code)"
4Df_BluxwkU,"Simulating Wet Sand"
UjuBLS15JqM,"Algorithmic Beautification of Selfies"
ZEjUqZU1hNQ,"Simulating Honey Coiling"
5vpklJw7uL0,"Designing Decorative Joinery for Furniture"
jDxsGW5KUP0,"Self-Illuminating Explosions"
ugdciqeOPeM,"Simulating Liquid-Hair Interactions"
wlndIQHtiFw,"Real-Time Character Control With Phase-Functioned Neural Networks"
2vnLBb18MuQ,"Digital Creatures Learn to Navigate in 3D"
D4C1dB9UheQ,"AI Learns to Synthesize Pictures of Animals"
oleylS5XGpg,"An Efficient Scattering Material Representation"
HTUxsrO-P_8,"Deep Photo Style Transfer"
u9UUWqVquXo,"AI Creates 3D Models From Faces"
1U3YKnuMS7g,"AI Learns Geometric Descriptors From Depth Images"
8YWgar0uCF8,"Semantic Scene Completion From One Depth Image"
aAsejHZC5EE,"Real-Time Modeling and Animation of Climbing Plants"
lxNEWuO6xQk,"Controllable Fluid and Smoke Simulations"
lf3ViWEeKqc,"On-the-Fly 3D Printing While Modeling"
1SHW1-qKKpY,"Real-Time Oil Painting on Mobile"
UBORpapdAfU,"Instant 3D Floorplans From Your Photos"
wz9cUncBdxw,"Geometric Detail Transfer"
UEPbzj-ekAI,"Modeling Knitted Clothing"
n3aoc36V8LM,"Structural Image Editing With PatchMatch"
bB54Wz4kq0E,"Shape2vec: Understanding 3D Shapes With AI"
YWK-bnyXvbg,"Space-Time Video Completion"
8u3Hkbev2Gg,"Stable Neural Style Transfer"
QFu0vZgMcqk,"Breaking DeepMind's Game AI System"
brs1qCDzRdk,"Automatic Creation of Sketch Tutorials"
u7kQ5lNfUfg,"AI Makes Stunning Photos From Your Drawings (pix2pix)"
JzOc_NNY_zY,"Real-Time Fiber-Level Cloth Rendering"
ZUa5sNVSjGw,"Shape and Material from Video"
psOPu3TldgY,"Learning to Fill Holes in Images"
kf-KViOuktc,"AI Builds 3D Models From Images With a Twist"
LmYKfU5O_NA,"Digital Creatures Learn to Cooperate"
XbuEYcFfl6s,"How Do Hollywood Movies Render Smoke?"
-all65C-dh0,"Fast Photorealistic Fur and Hair With Cone Tracing"
vaFhLAbPi8w,"Game AI Development With OpenAI Universe"
WovbLx8C0yA,"Enhance! Super Resolution From Google"
Yd4blFeRTEw,"Large-Scale Fluid Simulations On Your Graphics Card"
HO1LYJb818Q,"AI Makes 3D Models From Photos"
MtWtY4DdiWs,"Text Style Transfer"
oitGRdHFNWw,"Deep Learning Program Hallucinates Videos"
7aLda2E0Yyg,"Amazing Slow Motion Videos With Optical Flow"
iOWamCtnwTc,"Neural Network Learns The Physics of Fluids and Smoke"
dQSzmngTbtw,"Stunning Video Game Graphics With Voxel Cone Tracing (VXGI)"
rAbhypxs1qQ,"Image Synthesis From Text With Deep Learning"
PMSV7CjBuZI,"Crumpling Sound Synthesis"
j7XWCCvBrwU,"3D Printing Flexible Shells For Molding"
cUWDeDRet4c,"Multiphase Fluid Simulations"
tB0AVkPDDJU,"Precomputed Deformation Simulations"
DzsZ2qMtEUE,"Sound Propagation With Bidirectional Path Tracing"
FeMSEaHR8aw,"Water Wave Simulation with Dispersion Kernels"
7JbN9vXxGYE,"3D Printing Acoustic Filters"
aMo7pkkaZ9o,"Synchronizing Animations To Sound"
4MfG9CDufPA,"Deep Learning Program Simplifies Your Drawings"
NnzzSkKKoa8,"Human Pose Estimation With Deep Learning"
QkqNzrsaxYc,"Computer Games Empower Deep Learning Research"
sWZQxB2es88,"Building a Community Around Two Minute Papers"
u9kvJbWb_1U,"How To Steal a Lost Election With Gerrymandering"
fl-7e8yBUic,"Real-Time Soft Body Dynamics for Video Games"
nK3giIsNAHg,"Generating Tangle Patterns With Grammars"
w2D5JR83pFI,"3D Printing Materials With Subsurface Scattering"
kwqme8mEgz4,"Sound Synthesis for Fluids With Bubbles"
5-xMV3sT3Tw,"3D Printing Auxetic Materials"
ZaAUFqcfDJg,"Patreon Update - New Machine!"
Mx8viOFKiIs,"Sound Propagation With Adaptive Impulse Responses"
bLFISzfQCDQ,"Estimating Matrix Rank With Neural Networks"
CqFIVCD1WWo,"WaveNet by Google DeepMind"
XmM1tF7AxdA,"Automatic Hair Modeling from One Image"
ksCSL6Ql0Yg,"StyLit, Illumination-Guided Artistic Style Transfer"
HvHZXPd0Bjs,"Interactive Hair-Solid Simulations"
cVZzkSaxKmY,"3D Printing With Filigree Patterns"
XpwW3glj2T8,"Neural Material Synthesis"
heB2tD0-r-c,"On the Complexity of Two Minute Papers"
Rdpbnd0pCiI,"What is an Autoencoder?"
gHMY40kEXzs,"The Science of Medal Predictions (2016 Rio Olympics Edition)"
a1z6GXj8QK8,"Peer Review and the NeurIPS Experiment"
ZHoNpxUHewQ,"Task-based Animation of Virtual Characters"
1ypV5ZiIbdA,"What is Optimization? + Learning Gradient Descent"
zLzhsyeAie4,"Bundlefusion: 3D Scenes from 2D Videos"
a3sgFQjEfp4,"Photorealistic Images from Drawings"
flOevlA9RyQ,"Visually Indicated Sounds"
FMHGS8jWtzM,"Time Varying Textures"
6rNcAVr-U4s,"Fermat Spirals for Layered 3D Printing"
iTRnr6p7iYo,"Procedural Yarn Models for Cloth Rendering"
ZBWTD2aNb_o,"What Can We Learn From Deep Learning Programs?"
hnT-P3aALVE,"Hallucinating Images With Deep Learning"
JKYQOAZRZu4,"Rocking Out With Convolutions"
1PNhuHa7lS0,"Reinforcement Learning with OpenAI's Gym"
MfaTOXxA8dM,"Image Colorization With Deep Learning and Classification"
heY2gfXSHBo,"Schrödinger's Smoke"
7ymM4cG1zfQ,"Storytime Reading Comments"
-rf_MDh-FiE,"Surface-Only Liquids"
Uxax5EKg0zA,"Artistic Style Transfer For Videos"
wBrwN4dS-DA,"Deep Reinforcement Terrain Learning"
72_iAlYwl0c,"Separable Subsurface Scattering"
SC0D7aJOySY,"Real-Time Shading With Area Light Sources"
5PSWr2ovBvU,"Deep Learning and Cancer Research"
_S1lyQbbJM4,"Face2Face: Real-Time Facial Reenactment"
LhhEv1dMpKE,"Training Deep Neural Networks With Dropout"
nfPBT71xYVQ,"Narrow Band Liquid Simulations"
OV3Xcv42JSw,"No Such Thing As Artificial Intelligence"
aKSILzbAqJs,"10 Even Cooler Deep Learning Applications"
4Y7RIAgOpn0,"The Dunning-Kruger Effect"
jMZqxfTls-0,"From Doodles To Paintings With Deep Learning"
6aF9sJrzxaM,"Overfitting and Regularization For Deep Learning"
0Xc9LIb_HTw,"Decision Trees and Boosting, XGBoost"
ZolWxY4f9wc,"3D Depth From a Single Photograph"
a-ovvd_ZrmA,"How DeepMind's AlphaGo Defeated Lee Sedol"
hPKJBXkyTKM,"10 More Cool Deep Learning Applications"
fpd_wiOsgDk,"5000 Fellow Scholars Special! | Two Minute Papers"
4h0uC9FPVMQ,"How To Get Started With Machine Learning?"
-dbkE4FFPrI,"Interactive Photo Recoloring"
UGAzi1QBVEg,"Deep Learning Program Learns to Paint"
K-0KJtk07YU,"Artistic Manipulation of Caustics"
58tsN03IXlw,"Should You Take the Stairs at Work? (For Weight Loss)"
YPpIWQnufu8,"What is Impostor Syndrome?"
u3C4zkxNtok,"Biophysical Skin Aging Simulations"
AHl2JjGsu0s,"Extrapolations and Crowdfunded Research (Experiment)"
j9FLOinaG94,"Breaking Deep Learning Systems With Adversarial Examples"
IFmj5M5Q5jg,"How DeepMind Conquered Go With Deep Learning (AlphaGo)"
ZaFqvM1IsP8,"What Do Virtual Objects Sound Like?"
KgIrnR2O8KQ,"Simulating Viscosity and Melting Fluids"
eI_QUtgJHH8,"Interactive Editing of Subsurface Scattering"
_r-eIKkyAco,"3D Printing Objects With Caustics"
ImIaoKsjgUE,"Designing 3D Printable Robotic Creatures"
kMa_B3wLxAM,"Designing Cities and Furnitures With Machine Learning"
Bui3DWs02h4,"9 Cool Deep Learning Applications"
B70tT4WMyJk,"Neural Programmer-Interpreters Learn To Write Programs"
zzwCbhI2iOA,"Peer Review #1 [Audio only] | Two Minute Papers"
1aVSb-UbYWc,"Painting with Fluid Simulations"
ziMHaGQJuSI,"How Do Genetic Algorithms Work?"
674DL39dOOQ,"Randomness and Bell's Inequality [Audio only]"
9wOBkJJ-w2s,"Automatic Parameter Control for Metropolis Light Transport"
08V_F19HUfI,"Artificial Superintelligence [Audio only]"
ATN9oqMF_qk,"Are We Living In a Computer Simulation?"
Ih8EfvOzBOY,"Google DeepMind's Deep Q-Learning Superhuman Atari Gameplays"
_yjHPu1aYCY,"Terrain Traversal with Reinforcement Learning"
Q-XKOPNIDAg,"Cryptography, Perfect Secrecy and One Time Pads"
He4t7Zekob0,"How Does Deep Learning Work?"
e-WB4lfg30M,"Recurrent Neural Network Writes Sentences About Images"
iuJwmM2-JWM,"Be a Part of Two Minute Papers on Patreon!"
8xjTtE3JCDw,"Automatic Lecture Notes From Videos"
mkI6qfpEJmI,"Real-Time Facial Expression Transfer"
sSnDTPjfBYU,"Gradients, Poisson's Equation and Light Transport"
Jkkjy7dVdaY,"Recurrent Neural Network Writes Music and Shakespeare Novels"
uj8b5mu0P7Y,"Modeling Colliding and Merging Fluids"
2kOCTf8jIik,"3D Printing a Glockenspiel"
f0Uzit_-h3M,"Metropolis Light Transport"
rskdLEl05KI,"Synthesizing Sound From Collisions"
LU3pdWTD4Rw,"Adaptive Cloth Simulations"
HOLoPgTzV6g,"Creating Photographs Using Deep Learning"
2i1hrywDwPo,"Reconstructing Sound From Vibrations"
SmyiKmfnbhc,"Building Bridges With Flying Machines"
dH1s49-lrBk,"Adaptive Fluid Simulations"
L7MOeQw47BM,"Manipulating Photorealistic Renderings"
kQ2bqz3HPJE,"Digital Creatures Learn To Walk"
kLnG073NYtw,"Hydrographic Printing"
-R9bJGNHltQ,"Deep Neural Network Learns Van Gogh's Art"
UePDRN94C8c,"Time Lapse Videos From Community Photos"
A7Gut679I-o,"Simulating Breaking Glass"
Xf8JUM8g7Ks,"250 Subscribers - Our Quest A Thank You Message"
rCWTOOgVXyE,"Artificial Neural Networks and Deep Learning"
TRNUTN01SEg,"Capturing Waves of Light With Femto-photography"
5xLSbj5SsSE,"Fluid Simulations with Blender and Wavelet Turbulence"
_ZLXKt4L-AA,"Awesome Research For Everyone! - Two Minute Papers Channel Trailer"
Mnu1DzFzRWs,"This Neural Network Animates Quadrupeds"
cEBgi6QYDhQ,"Everybody Dance Now! - AI-Based Motion Transfer"
HvH0b9K_Iro,"This AI Performs Super Resolution in Less Than a Second"
GRQuRcpf5Gc,"NVIDIA Vid2Vid: AI-Based Video-to-Video Synthesis!"
wR2OlsF1CEY,"DeepMind's New AI Diagnoses Eye Conditions"
0xlbzCXJpLM,"Should an AI Learn Like Humans?"
dyzn3Fmtw-E,"This Painter AI Fools Art Historians 39% of the Time"
DuMmcVOsNcs,"These Neural Networks Empower Digital Artists"
UkWnExEFADI,"Neural Material Synthesis, This Time On Steroids"
txHQoYKaSUk,"This Robot Learned To Clean Up Clutter"
kBFMsY5ZP0o,"This AI Senses Humans Through Walls"
6IsIGp1IezE,"Brain-to-Brain Communication is Coming!"
Bv3yat484aQ,"Multilayer Light Simulations: More Beautiful Images, Faster"
F-00NhYUnH4,"This AI Learned How To Generate Human Appearance"
duCQUu8EQVA,"Real-Time Holography Simulation!"
X1cPSvPagNI,"Full-Time Papers, Maybe Someday?"
o-LU_Dja6Ks,"This AI Shows Us the Sound of Pixels"
zL6ltnSKf9k,"This AI Learned To Isolate Speech Signals"
fzuYEStsQxc,"This Curious AI Beats Many Games...and Gets Addicted to the TV"
ozUzomVQsWc,"This AI Learns Acrobatics by Watching YouTube"
CIDRdLOWrXQ,"Building a Curious AI With Random Network Distillation"
V6G717ewUuw,"Can an AI Learn To Draw a Caricature?"
ZKQp28OqwNQ,"BigGANs: AI-Based High-Fidelity Image Synthesis"
q22XWPM0Egc,"AI Learning Morphology and Movement...at the Same Time!"
pc_k-sgUYmY,"DeepMind’s Take on How To Create a Benign AI"
T8YOzqy7t5Y,"This AI Learns From Humans…and Exceeds Them"
KhP7lTLTipc,"6 Life Lessons I Learned From AI Research"
t_7qpPOmsME,"This AI Produces Binaural (2.5D) Audio"
1ct_P3IZow0,"What Makes a Good Image Generator AI?"
-cOYwZ2XcAc,"None of These Faces Are Real!"
DMXvkbAtHNY,"DeepMind’s AlphaStar Beats Humans 10-0 (or 1)"
Do_00r8NGMY,"AI Learns Real-Time Defocus Effects in VR"
6fo5NhnyR8I,"OpenAI - Learning Dexterous In-Hand Manipulation"
OwRuzn3RAhA,"Extracting Rotations The Right Way"
lws-2u3LbYg,"Diese KI lernt Bildentfärbung..und weiteres"
F84jaIR5Uxc,"AI-Based 3D Pose Estimation: Almost Real Time!"
1gWpFuQlBsg,"AlphaZero: DeepMind’s AI Works Smarter, not Harder"
pv8Sl2rWyCQ,"Google AI's Take on How To Fix Peer Review"
YFL-MI5xzgg,"Do Neural Networks Need To Think Like Humans?"
QpptSohzuDo,"This Experiment Questions Some Recent AI Results"
iM4PPGDQry0,"GANPaint: An Extraordinary Image Editor AI"
OV0ivJB2lyI,"Liquid Splash Modeling With Neural Networks"
cD-eXjf854Q,"DeepMind: The Hanabi Card Game Is the Next Frontier for AI Research"
C7Dmu0GtrSw,"Google’s PlaNet AI Learns Planning from Pixels"
dvzlvHNxdfI,"This AI Learned to “Photoshop” Human Faces"
luwP75lPExo,"NeuroSAT: An AI That Learned Solving Logic Problems"
-jL2o_15s1E,"Beautiful Gooey Simulations, Now 10 Times Faster"
wEgq6sT1uq8,"A Bitter AI Lesson - Compute Reigns Supreme!"
UoKXJzTYDpw,"Why Are Cloth Simulations So Hard?"
8ypnLjwpzK8,"OpenAI GPT-2: An Almost Too Good Text Generator!"
iKrrKyeSRew,"How Do Neural Networks Memorize Text?"
hW1_Sidq3m8,"NVIDIA's AI Creates Beautiful Images From Your Sketches!"
XSWqLb0VyzM,"Exploring And Attacking Neural Networks With Activation Atlases"
Wxb0jN0X7cs,"How To Train Your Virtual Dragon"
mGHKFMXdjKU,"DeepMind's AI Learned a Better Understanding of 3D Scenes"
dd1kN_myNDs,"AI Learns Tracking People In Videos"
e_9f5Z0sMYE,"Simulating Grains of Sand, Now 6 Times Faster"
tfb6aEUMC04,"OpenAI Five Beats World Champion DOTA2 Team 2-0!"
JJlSgm9OByM,"This Robot Throws Objects with Amazing Precision"
C6nonNRoF7g,"This is How Google’s Phone Enhances Your Photos"
QPwhEnAILa0,"Should AI Research Try to Model the Human Brain?"
SfvRhqsmU4o,"NVIDIA’s AI Transformed My Chihuahua Into a Lion"
f9z1I_81_Q4,"DeepMind Made a Math Test For Neural Networks"
goD36hVVl7M,"How Can This Liquid Climb?"
aJq6ygTWdao,"This AI Makes Amazing DeepFakes…and More!"
38ZXwJj6j8k,"All Hail The Mighty Translatotron!"
Y73iUAh56iI,"We Can All Be Video Game Characters With This AI"
pQA8Wzt8wdw,"OpenAI's MuseNet Learned to Compose Mozart, Bon Jovi and More"
S7HlxaMmWAU,"Artistic Style Transfer, Now in 3D!"
thQ7QjqNPlY,"This AI Makes The Mona Lisa Come To Life"
9M18rc9-VWU,"This Jello Simulation Uses Only ~88 Lines of Code"
2xWnOL5bts8,"Rewrite Videos By Editing Text"
kie4wjB1MCw,"Virtual Characters Learn To Work Out…and Undergo Surgery"
hYWr67i8z5o,"AI Discovers Sentiment By Writing Amazon Reviews"
tRHFQHYfAVc,"Better Photorealistic Materials Are Coming!"
xlrGOfvYcQc,"AI Creates Near Perfect Images Of People, Dogs and More"
prMk6Znm4Bc,"This AI Learns About Movement By Watching Frozen People"
OEQf0AtSSsc,"Tighten the Towel! Simulating Liquid-Fabric Interactions"
fcnjHmBcLNQ,"3D Style Transfer For Video is Now Possible!"
u90TbxK7VEA,"This Superhuman Poker AI Was Trained in 20 Hours!"
wVtOuvFlczg,"Augmented Reality Presentations Are Coming!"
CSQPD3oyvD8,"Simulating Water and Debris Flows"
IMZkLVBhcig,"DeepMind’s New AI Dreams Up Videos on Many Topics"
Jnj7OmmOm2Y,"This AI Hallucinates Images For You"
-ryF7237gNo,"This Adorable Baby T-Rex AI Learned To Dribble"
AOZw1tgD8dA,"Adversarial Attacks on Neural Networks - Bug or Feature?"
qkHK1QdQ2Fk,"This AI Clears Up Your Hazy Photos"
duo-tHbSdMk,"New Face Swapping AI Creates Amazing DeepFakes!"
uVC5WowQxD8,"This is How You Simulate Making Pasta"
zrF5_O92ELQ,"These Are The 7 Capabilities Every AI Should Have"
0OtZ8dUFxXA,"OpenAI’s GPT-2 Is Now Available - It Is Wise as a Scholar!"
Uk9p4Kk98_g,"Google's AI Plays Football…For Science!"
leoRHsBsv6Q,"Finally, Style Transfer For Smoke Simulations!"
RoGHVI-w9bE,"DeepFake Detector AIs Are Good Too!"
7SM816P5G9s,"Is a Realistic Honey Simulation Possible?"
882O_7hsAms,"AI Learns Human Movement From Unorganized Data"
Lu56xVlZ40M,"OpenAI Plays Hide and Seek…and Breaks The Game!"
nSHU-4Yt4eQ,"AIs Are Getting Too Smart - Time For A New IQ Test"
atcKO15YVD8,"Ubisoft's AI Learns To Compute Game Physics In Microseconds!"
g1sAjtDoItE,"Cubify All The Things!"
Z6iTo7KY7lw,"Can an AI Learn The Concept of Pose And Appearance?"
FZZ9rpmVCqE,"Ken Burns Effect, Now In 3D!"
0sR1rU3gLzQ,"Google's AI Clones Your Voice After Listening for 5 Seconds!"
cTqVhcrilrE,"This AI Learned To Animate Humanoids!🚶"
9b2dxc1QalM,"OpenAI’s Robot Hand Won't Stop Rotating The Rubik’s Cube"
slJI5r9rltI,"This AI Captures Your Hair Geometry...From Just One Photo!"
4J0cpdR7qec,"This AI Makes The Mona Lisa Speak…And More!"
jtlrWblOyP4,"DeepMind’s AlphaStar: A Grandmaster Level StarCraft 2 AI!"
NlZJlFCh8MU,"This AI Creates A Moving Digital Avatar Of You"
_s7Bg6yVOdo,"OpenAI Safety Gym: A Safe Place For AIs To Learn"
cpxtd-FKY1Y,"These Natural Images Fool Neural Networks (And Maybe You Too)"
O8l4Kn-j-5M,"This Robot Arm Learned To Assemble Objects It Hasn’t Seen Before"
hYV4-m7_SK8,"MuZero: DeepMind’s New AI Mastered More Than 50 Games"
SIGQSgifs6s,"Baking And Melting Chocolate Simulations Are Now Possible!"
wsFgrzYwchQ,"This Beautiful Fluid Simulator Warps Time…Kind Of"
eTUmmW4ispA,"This Neural Network Performs Foveated Rendering"
O-52enqUSNw,"Is a Realistic Water Bubble Simulation Possible?"
o_DhNqHazKY,"This Neural Network Combines Motion Capture and Physics"
T7w7QuYa4SQ,"Finally, Differentiable Physics is Here!"
SWoravHhsUU,"StyleGAN2: Near-Perfect Human Face Synthesis...and More"
9IqRdEs4_JU,"Simulating Breaking Bread"
EjVzjxihGvU,"This Neural Network Restores Old Videos"
62Q1NL4k8cI,"OpenAI Performs Surgery On A Neural Network to Play DOTA 2"
Ks7wDYsN4yM,"Neural Portrait Relighting is Here!"
B1Dk_9k6l08,"This Neural Network Turns Videos Into 60 FPS!"
TbWQ4lMnLNw,"The Story of Light!"
548sCh0mMRc,"This Neural Network Creates 3D Objects From Your Photos"
mjl4NEMG0JE,"Can We Detect Neural Image Generators?"
yX84nGi-V7E,"Transferring Real Honey Into A Simulation"
HcB3ImpYeQU,"Deformable Simulations…Running In Real Time!"
-IbNmc2mTz4,"This Neural Network Learned The Style of Famous Illustrators"
bXzauli1TyU,"This Neural Network Regenerates…Kind Of"
3Wppf_CNvD0,"Google’s Chatbot: Almost Perfect"
eTYcMB6Yhe8,"Can Self-Driving Cars Learn Depth Perception?"
mUfJOQKdtAk,"Everybody Can Make Deepfakes Now!"
-O7ZJ-AJGRE,"Is Visualizing Light Waves Possible?"
higGxGmwDbs,"Muscle Simulation...Now In Real Time!"
VQgYPv8tb6A,"This AI Makes Audio Deepfakes!"
nCpGStnayHk,"This Neural Network Learned To Look Around In Real Scenes! (NERF)"
hFZlxpJPI5w,"Sure, DeepFake Detectors Exist - But Can They Be Fooled?"
bVXPnP8k6yo,"This AI Learned to Summarize Videos"
EWKAgwgqXB4,"This AI Creates Beautiful Time Lapse Videos"
54YvCE8_7lM,"Is Simulating Soft and Bouncy Jelly Possible?"
rGOy9rqGX1k,"What’s Inside a Neural Network?"
MPdj8KGZHa0,"Neural Network Dreams About Beautiful Natural Scenes"
i4KWiq3guRU,"Finally, A Blazing Fast Fluid Simulator!"
u5wtoH0_KuA,"This AI Does Nothing In Games…And Still Wins!"
9gX24m3kcjA,"Can We Teach a Robot Hand To Keep Learning?"
sTe_-YOccdM,"Two Shots of Green Screen Please!"
ihYsJpibNRU,"Now We Can Relight Paintings…and Turns Out, Photos Too!"
